,event,channel,time,time_len,integral,ampl,npeaks,is_sat
0,0,CH1,-1.891445e-06,8.480000000000002e-08,2.587573809524004e-11,0.000412563244047619,0.0,False
1,0,CH1,-1.537845e-06,5.760000000000009e-08,1.4851875000001117e-11,0.00033845610119047614,0.0,False
2,0,CH1,-1.257845e-06,1.1040000000000004e-07,2.8601761904764046e-11,0.00033808407738095234,0.0,False
3,0,CH1,-1.120245e-06,1.2800000000000115e-08,1.9711845238096712e-12,0.00017848586309523806,0.0,False
4,0,CH1,-1.032245e-06,1.7920000000000002e-07,7.536992261905329e-11,0.0006690364583333332,1.0,False
5,0,CH1,-3.34645e-07,1.6480000000000002e-07,4.495841666667005e-11,0.0003705245535714285,0.0,False
6,0,CH1,-1.9445e-08,1.552e-06,5.647005315476614e-09,0.011546789434523811,2.0,False
7,0,CH1,1.543755e-06,1.1199999999999994e-08,1.661321428571553e-12,0.00017536086309523808,0.0,False
8,0,CH1,1.556555e-06,3.199999999999817e-09,2.730773809524014e-13,0.00017067336309523805,0.0,False
9,0,CH1,1.561355e-06,1.5999999999999084e-09,0.0,,0.0,False
10,0,CH1,1.633355e-06,1.9840000000000008e-07,6.243232738095705e-11,0.000487563244047619,0.0,False
11,0,CH1,1.919755e-06,2.7199999999999926e-08,4.762214285714643e-12,0.00019790550595238094,0.0,False
12,0,CH1,1.959755e-06,3.0239999999999985e-07,1.1557426190477059e-10,0.0006427715773809523,1.0,False
13,0,CH1,2.535755e-06,3.5199999999999976e-07,2.1971727976192124e-10,0.0013336197916666665,1.0,False
14,0,CH1,2.938955e-06,4.799999999999937e-09,5.535357142857558e-13,0.00017409598214285712,0.0,False
15,0,CH1,3.679755e-06,6.400000000000057e-09,8.482797619048254e-13,0.0001809412202380952,0.0,False
16,0,CH1,4.858955e-06,6.400000000000481e-09,8.386369047619675e-13,0.0001774441964285714,0.0,False
17,0,CH1,5.687755e-06,6.703999999999995e-07,4.679282500000351e-10,0.0014410602678571428,2.0,False
18,0,CH1,6.439755e-06,2.2239999999999977e-07,1.1225646428572271e-10,0.0008817596726190476,1.0,False
19,0,CH1,7.518155e-06,1.663999999999998e-07,4.1753398809526945e-11,0.0002979055059523809,0.0,False
20,0,CH1,7.708555e-06,2.9119999999999985e-07,2.177465297619211e-10,0.0013985751488095237,1.0,False
21,1,CH1,-1.754645e-06,1.648000000000001e-07,8.213591666667284e-11,0.0008475334821428571,0.0,False
22,1,CH1,-7.29045e-07,1.424e-07,4.8790571428575084e-11,0.0005703013392857143,0.0,False
23,1,CH1,-1.7045e-08,1.2751999999999999e-06,5.1136217380956225e-09,0.012464720982142859,2.0,False
24,1,CH1,1.264555e-06,1.6000000000001202e-09,0.0,,0.0,False
25,1,CH1,1.757355e-06,3.664000000000002e-07,1.8627973809525206e-10,0.0009042299107142857,1.0,False
26,1,CH1,2.374955e-06,5.760000000000009e-08,1.5053660714286843e-11,0.00036129836309523804,0.0,False
27,1,CH1,3.373355e-06,2.2879999999999983e-07,6.593603571429066e-11,0.0005118936011904762,1.0,False
28,1,CH1,4.696555e-06,2.8959999999999973e-07,2.0027869047620549e-10,0.0014835453869047619,1.0,False
29,1,CH1,5.512555e-06,1.0079999999999995e-07,3.155460714285951e-11,0.0004790811011904762,0.0,False
30,2,CH1,-1.986645e-06,1.599999999999993e-08,2.7297202380954428e-12,0.000203188244047619,0.0,False
31,2,CH1,-1.967445e-06,3.2000000000002404e-09,2.778392857143066e-13,0.00017364955357142855,0.0,False
32,2,CH1,-1.349845e-06,1.311999999999999e-07,3.4484029761907344e-11,0.00043317336309523803,0.0,False
33,2,CH1,-6.44245e-07,7.679999999999995e-08,1.6379994047620273e-11,0.00023786086309523808,0.0,False
34,2,CH1,-1.5445e-08,9.312e-07,5.485788910714697e-09,0.01747692336309524,1.0,False
35,2,CH1,1.003755e-06,4.5440000000000005e-07,3.3294161309526304e-10,0.0013836197916666667,1.0,False
36,2,CH1,1.498155e-06,3.2640000000000017e-07,2.6453506547621035e-10,0.0015330245535714283,1.0,False
37,2,CH1,1.890155e-06,5.136e-07,7.486133333333895e-10,0.004867622767857143,1.0,False
38,2,CH1,3.320555e-06,1.0880000000000013e-07,3.093654166666899e-11,0.00037208705357142855,0.0,False
39,2,CH1,3.491755e-06,1.9200000000000172e-08,3.1517083333335696e-12,0.00018592633928571426,0.0,False
40,2,CH1,5.397355e-06,2.720000000000035e-08,4.700785714286067e-12,0.00019611979166666663,0.0,False
41,2,CH1,5.531755e-06,6.399999999999634e-09,8.445892857143489e-13,0.00017811383928571426,0.0,False
42,2,CH1,5.992555e-06,3.855999999999993e-07,1.911748809523953e-10,0.0008368936011904761,1.0,False
43,2,CH1,6.406955e-06,1.1199999999999994e-08,1.6685833333334584e-12,0.00017640252976190474,0.0,False
44,2,CH1,6.931755e-06,4.1440000000000064e-07,2.604421785714481e-10,0.0016316852678571426,1.0,False
45,3,CH1,-1.983605e-06,2.1599999999999992e-07,7.957391666665159e-11,0.0005699293154761905,1.0,False
46,3,CH1,-1.764405e-06,3.519999999999989e-08,6.117720238094077e-12,0.0001947805059523809,0.0,False
47,3,CH1,-1.692405e-06,7.999999999999966e-09,1.1224285714283584e-12,0.00017856026785714282,0.0,False
48,3,CH1,-1.681205e-06,7.999999999999966e-09,1.1001666666664579e-12,0.0001727566964285714,0.0,False
49,3,CH1,-8.7605e-08,1.528e-06,6.598601892855891e-09,0.020676402529761904,2.0,False
50,3,CH1,1.459595e-06,1.599999999999993e-08,2.6298392857137867e-12,0.00019351562499999995,0.0,False
51,3,CH1,1.757195e-06,1.3440000000000014e-07,4.40212559523726e-11,0.0004529650297619047,0.0,False
52,3,CH1,2.200395e-06,4.576000000000001e-07,2.3025026785709915e-10,0.0009273697916666666,2.0,False
53,3,CH1,2.661195e-06,7.999999999999754e-09,1.126714285714072e-12,0.00017885788690476188,0.0,False
54,3,CH1,2.742795e-06,1.296e-07,5.002083333332384e-11,0.0005421019345238095,1.0,False
55,3,CH1,2.875595e-06,7.999999999999754e-09,1.1288571428569287e-12,0.00017833705357142855,0.0,False
56,3,CH1,2.886795e-06,8.799999999999984e-08,1.7897249999996604e-11,0.00022967633928571427,0.0,False
57,3,CH1,3.577995e-06,2.2720000000000013e-07,9.068545833331614e-11,0.0007375632440476189,1.0,False
58,3,CH1,4.659595e-06,6.080000000000033e-08,1.611886309523504e-11,0.0003437388392857143,0.0,False
59,3,CH1,4.811595e-06,2.48e-07,1.3249320238092724e-10,0.0009636049107142856,1.0,False
60,3,CH1,7.315595e-06,1.1039999999999982e-07,3.549604761904089e-11,0.0004075037202380952,0.0,False
61,3,CH1,7.449995e-06,1.5679999999999992e-07,5.871600595236982e-11,0.0005436644345238095,1.0,False
62,4,CH1,-1.8165e-08,1.128e-06,4.70552516666702e-09,0.016782950148809525,1.0,False
63,4,CH1,1.295435e-06,2.863999999999999e-07,1.8474944047620433e-10,0.0013647953869047615,1.0,False
64,4,CH1,1.860235e-06,4.800000000000022e-08,1.2161744047619961e-11,0.00033168526785714284,0.0,False
65,4,CH1,1.911435e-06,1.6000000000001202e-09,0.0,,0.0,False
66,4,CH1,1.914635e-06,1.919999999999975e-08,3.2178988095240513e-12,0.00018949776785714284,0.0,False
67,4,CH1,4.802635e-06,4.159999999999974e-08,9.471934523810235e-12,0.0002771465773809523,0.0,False
68,4,CH1,4.861835e-06,1.4720000000000005e-07,7.411742261905318e-11,0.000820078125,1.0,False
69,4,CH1,6.639435e-06,1.311999999999997e-07,5.995938690476642e-11,0.0007415811011904761,0.0,False
70,4,CH1,6.799435e-06,1.5199999999999956e-07,8.140867857143469e-11,0.0008704501488095239,0.0,False
71,4,CH1,7.234635e-06,1.6000000000000016e-07,5.906739880952825e-11,0.0006090662202380952,1.0,False
72,4,CH1,7.607435e-06,5.120000000000046e-08,9.998017857143605e-12,0.0002377864583333333,0.0,False
73,5,CH1,-1.909365e-06,1.1199999999999994e-08,1.7000119047620322e-12,0.0001799739583333333,0.0,False
74,5,CH1,-1.819765e-06,6.880000000000009e-08,1.2925321428572398e-11,0.00021122395833333328,0.0,False
75,5,CH1,-1.731765e-06,2.9920000000000003e-07,1.0308036904762678e-10,0.000613530505952381,1.0,False
76,5,CH1,-9.68565e-07,2.72e-07,7.45809107142913e-11,0.00045088169642857137,0.0,False
77,5,CH1,-2.67765e-07,7.36e-08,2.32430059523827e-11,0.00044678943452380947,0.0,False
78,5,CH1,-1.39765e-07,6.880000000000001e-08,1.661877380952506e-11,0.000307578125,0.0,False
79,5,CH1,-4.0565e-08,4.688e-07,5.364202619048022e-10,0.002768962053571428,1.0,False
80,5,CH1,8.13835e-07,2.8800000000000046e-08,4.978505952381326e-12,0.00019202752976190472,0.0,False
81,5,CH1,8.76235e-07,1.6000000000000037e-08,2.6176964285716245e-12,0.00018808407738095235,0.0,False
82,5,CH1,8.95435e-07,1.5999999999999084e-09,0.0,,0.0,False
83,5,CH1,1.057035e-06,9.760000000000013e-08,2.05219047619063e-11,0.00023890252976190474,0.0,False
84,5,CH1,1.212235e-06,2.8800000000000046e-08,5.158029761905148e-12,0.00020058407738095236,0.0,False
85,5,CH1,1.297035e-06,4.160000000000016e-08,7.338601190476742e-12,0.00019745907738095238,0.0,False
86,5,CH1,1.340235e-06,3.2000000000000287e-09,2.778392857143066e-13,0.00017364955357142855,0.0,False
87,5,CH1,1.375435e-06,1.056000000000001e-07,2.454610119047803e-11,0.0002915066964285714,0.0,False
88,5,CH1,2.071435e-06,5.279999999999973e-08,9.860857142857881e-12,0.0002159114583333333,0.0,False
89,5,CH1,3.369035e-06,1.184e-07,4.234214880952699e-11,0.00045489955357142853,0.0,False
90,5,CH1,4.855435e-06,4.3519999999999966e-07,1.2189325595239007e-10,0.0004807924107142857,0.0,False
91,5,CH1,5.501835e-06,1.2319999999999994e-07,3.6974476190478965e-11,0.0004403162202380952,0.0,False
92,6,CH1,-1.826805e-06,1.0559999999999989e-07,3.305717261904135e-11,0.0004366703869047618,0.0,False
93,6,CH1,-1.057205e-06,1.3599999999999995e-07,4.099326190475413e-11,0.0005178459821428571,0.0,False
94,6,CH1,-2.0405e-08,1.2416e-06,4.413882351189639e-09,0.011797310267857143,3.0,False
95,6,CH1,1.483595e-06,2.1920000000000016e-07,1.0168590476188548e-10,0.0008362983630952381,1.0,False
96,6,CH1,1.792395e-06,2.5600000000000017e-08,4.545803571427709e-12,0.00019850074404761904,0.0,False
97,6,CH1,2.105995e-06,2.863999999999999e-07,1.2417420238092883e-10,0.0007591406249999999,1.0,False
98,6,CH1,2.406795e-06,1.6000000000001202e-09,0.0,,0.0,False
99,6,CH1,2.635595e-06,1.3120000000000012e-07,3.649748214285022e-11,0.0004071316964285714,0.0,False
100,6,CH1,3.009995e-06,2.608000000000001e-07,1.1831794047616803e-10,0.0009164322916666666,1.0,False
101,6,CH1,3.819595e-06,3.3759999999999995e-07,2.819317261904227e-10,0.0021592150297619042,1.0,False
102,6,CH1,5.505995e-06,5.279999999999973e-08,1.3174547619045119e-11,0.0002986495535714285,0.0,False
103,6,CH1,5.699595e-06,7.040000000000021e-08,1.8653041666663128e-11,0.00035653645833333327,0.0,False
104,6,CH1,6.150795e-06,1.7120000000000016e-07,5.043441666665711e-11,0.00047677455357142856,0.0,False
105,6,CH1,6.510795e-06,1.6319999999999956e-07,7.43353392857002e-11,0.0008056436011904761,1.0,False
106,7,CH1,-1.889525e-06,1.6959999999999982e-07,7.289122023810071e-11,0.0006627120535714285,1.0,False
107,7,CH1,-2.83125e-07,9.44e-08,2.6410630952382933e-11,0.0003493191964285714,0.0,False
108,7,CH1,-1.7525e-08,1.6960000000000002e-06,4.670156089286065e-09,0.012116953124999998,4.0,False
109,7,CH1,1.862475e-06,4e-07,1.7473210119048927e-10,0.0007371168154761905,1.0,False
110,7,CH1,2.628875e-06,2.608000000000001e-07,7.579365476191046e-11,0.0005593638392857142,0.0,False
111,7,CH1,3.276875e-06,1.8559999999999997e-07,5.2740922619051565e-11,0.00042022693452380946,0.0,False
112,7,CH1,3.598475e-06,1.6000000000001202e-09,0.0,,0.0,False
113,7,CH1,4.745675e-06,3.583999999999998e-07,2.519958988095427e-10,0.0016968638392857141,1.0,False
114,7,CH1,5.107275e-06,3.2000000000002404e-09,2.739107142857348e-13,0.00017119419642857138,0.0,False
115,7,CH1,5.131275e-06,1.2800000000000115e-08,1.953922619047766e-12,0.00017885788690476188,0.0,False
116,7,CH1,5.145675e-06,5.599999999999997e-08,1.1511535714286578e-11,0.000243813244047619,0.0,False
117,7,CH1,5.214475e-06,1.6000000000001202e-09,0.0,,0.0,False
118,7,CH1,5.217675e-06,3.2000000000002404e-09,2.758154761904968e-13,0.00017238467261904757,0.0,False
119,7,CH1,6.825675e-06,1.0400000000000019e-07,2.623802380952578e-11,0.0003348102678571428,0.0,False
120,8,CH1,-1.568565e-06,4.479999999999998e-08,1.1186541666667505e-11,0.00032052455357142853,0.0,False
121,8,CH1,-1.4965e-08,1.5264e-06,5.484854410714698e-09,0.020559363839285714,3.0,False
122,8,CH1,1.578635e-06,1.0720000000000001e-07,3.164465476190713e-11,0.0004309412202380952,0.0,False
123,8,CH1,2.012235e-06,2.0960000000000008e-07,9.157577380953068e-11,0.0007790066964285714,1.0,False
124,8,CH1,5.284235e-06,2.5759999999999987e-07,1.467261904762015e-10,0.0011955989583333332,1.0,False
125,8,CH1,6.101835e-06,2.560000000000006e-07,1.765995416666799e-10,0.0013548251488095238,1.0,False
